ingredient_id,name
624,Folic acid
625,Riboflavin
626,Camu camu extract
627,Turmeric Extract
628,Coconut Water
629,Monk Fruit Juice Concentrate
630,Sodium Benzoate
631,Potassium sorbate
632,Alpha-Glyceryl Phosphoryl Choline (A-GPC)
633,Ginseng Extract
634,Magnesium Citrate
635,Guarana extract
636,Coenzyme Q10
637,Sensoril®
638,Glucuronolactone
639,Chromium chelate
640,Calcium Carbonate
641,Caramel color
642,Phosphoric Acid
643,Cognizin citicoline
644,N-acetyl-L-tyrosine
645,carnosine beta alanine
646,BetaPower® betaine anhydrous
647,caffeine anhydrous
648,dynamine
649,TeaCrine
650,Nitrate-N
651,Sulphate
652,Calcium lactate
653,Sodium hexametaphosphate
654,Polysorbate 60 (Tween-60)
655,Zinc gluconate
656,Calcium Disodium EDTA
657,12-Stage Ultra-Purified Structured Water
658,Celtic Sea Salt
659,Hydrogen Gas
660,Reverse Osmosis Water
661,Fructose
662,Organic erythritol
663,Organic lemon juice
664,Organic blackberry juice concentrate
665,Organic amla extract (Vitamin C)
666,Organic Lemon Balm
667,organic schisandra fruit extract
668,monopotassium phosphate
669,Gum Arabic
670,Yellow 5 (Tartrazine)
671,Sugar
672,Allura Red 40
673,FD&C Blue #1
674,Sodium selenate
675,Manganese citrate
676,Calcium phosphate
677,Triple-filtered water
678,Apple Juice
679,White Grape
680,Blackberry
681,Acerola juice concentrate
682,Cucumber essence
683,Purified water
684,Disodium phosphate (DSP)
685,Filtered water
686,Vegetable juice concentrate (color)
687,Natural blueberry pomegranate flavor
688,Magnesium oxide
689,Zinc oxide
690,Guar gum
691,Vitamin A palmitate
692,Sodium lactate
693,Fruit juice (color)
694,Natural strawberry kiwi flavor
695,Natural orange clementine flavor
696,Beta-apo-8'-carotenal
697,Natural blueberry raspberry flavor
698,Organic maca root powder
699,Black carrot juice concentrate
700,Bacillus coagulans GBI-30 6086
701,CBD distillate
702,Limonene
703,Maltodextrin
704,Spirulina extract
705,Allulose
706,Natural berry flavor
707,Lion's Mane Extract
708,Reishi Extract
709,Watermelon Juice
710,Peach Juice Concentrate
711,Black Tea Powder
712,Vegetable Fiber
713,Purple Sweet Potato Color
714,Terpene Blend
715,Grapefruit Flavor
716,Lime Flavor
717,Elderberry juice powder
718,Lychee puree
719,Honey
720,Dopa bean (Mucuna Pruriens)
721,Vitamin D3
722,Coconut Meat
723,Natural White Peach Flavor
724,Natural Honeysuckle Flavor
725,Peppermint Extract
726,Bacillus coagulans MTCC 5856
727,Cordyceps Mushroom Extract
728,Pineapple juice
729,Water
730,Organic lemon flavor
731,Organic coconut water
732,Organic coconut cream
733,Gellan gum
